"id","label","rank","x","y"
50001,"Abodiacum",60,10.909,47.909
50002,"Ad fl. Tigrim",60,42.191,37.341
50003,"Ad Publicanos",60,6.374,45.671
50004,"Ad Tricesimum",60,13.215,46.157
50005,"Ad Aras",60,-0.977,38.736
50006,"Adramyttium",80,26.937,39.504
50007,"Aeclanum",80,15.010,41.062
50008,"Aelana",80,34.999,29.531
50009,"Aequum Tuticum",70,15.074,41.257
50010,"Aesernia",80,14.230,41.593
50011,"Aesuris",70,-7.446,37.217
50012,"Ara Agrippinensium",90,6.943,50.944
50013,"Aguntum",80,12.819,46.839
50014,"Ake-Ptolemais",80,35.077,32.926
50015,"Alba Fucens",80,13.411,42.079
50016,"Albulae",70,-1.158,35.292
50017,"Alexandria",100,29.910,31.200
50019,"Alexandria Troas",80,26.152,39.760
50020,"Altinum",80,12.407,45.542
50021,"Ammaedara",80,8.459,35.573
50022,"Ancona",90,13.518,43.615
50023,"Ancyra",90,32.873,39.947
50024,"Antiochia",100,36.169,36.208
50025,"Caesarea (Phrygia)",90,31.180,38.301
50026,"Apamea",90,36.406,35.417
50027,"Apamea (Pisidia)",90,30.171,38.074
50028,"Aphroditopolis",80,31.252,29.407
50029,"Claudia Aprensis",90,27.066,40.976
50030,"Apulum",90,23.590,46.067
50031,"Aquae Sextiae",80,5.441,43.534
50032,"Aquae Sulis",70,-2.372,51.395
50033,"Aquae Terebellicae",70,-1.061,43.732
50034,"Aquileia",90,13.364,45.767
50035,"Aquincum",90,19.047,47.571
50036,"Arae Philaenorum",70,18.787,30.293
50037,"Arausio",80,4.809,44.137
50038,"x",6,36.039,34.534
50039,"Archelais",80,34.048,38.384
50040,"Arelate",90,4.627,43.687
50041,"Argentorate",80,7.765,48.594
50042,"Ariminum",80,12.563,44.059
50043,"Arretium",90,11.862,43.470
50045,"Arupium",70,15.290,44.829
50046,"Ascalon",90,34.546,31.669
50047,"Asculum",90,13.574,42.854
50048,"Asturica",90,-6.049,42.462
50049,"Aternum",80,14.213,42.464
50050,"Athenae",90,23.721,37.974
50051,"Aufidena",60,16.193,41.335
50052,"Augusta Praetoria",80,7.313,45.736
50053,"Augusta Raurica",80,7.727,47.544
50054,"Augusta Suessionum",70,3.325,49.380
50055,"Augusta Taurinorum",80,7.686,45.069
50056,"Augusta Vindelicum",90,10.894,48.364
50057,"Augustobona",70,4.063,48.307
50058,"Augustobriga",70,-5.677,39.806
50059,"Augustodunum",80,4.283,46.967
50060,"Auzia",80,3.685,36.148
50061,"Avaricum",90,2.405,47.081
50062,"Aventicum",80,7.028,46.881
50063,"Bagacum",70,3.810,50.303
50064,"Banasa",80,-6.118,34.609
50065,"Barcino",90,2.159,41.361
50066,"Barium",70,16.869,41.128
50067,"Batnae",80,38.424,36.975
50068,"Beneharnum",70,-0.436,43.332
50069,"Beneventum",90,14.761,41.137
50070,"Berenice",80,35.481,23.901
50072,"Beroia",80,37.152,36.219
50073,"Berytus",90,35.521,33.898
50074,"Eleutheropolis",90,34.888,31.620
50075,"Bilbilis",80,-1.604,41.381
50076,"Claudiopolis",80,31.600,40.740
50077,"Bonna",80,7.085,50.744
50078,"Bononia",80,11.348,44.494
50079,"Bononia (Moesia)",80,22.895,44.007
50080,"Bostra",90,36.484,32.517
50081,"Bovianum",80,14.473,41.486
50082,"Bracara Augusta",90,-8.424,41.551
50083,"Brigantium",70,9.725,47.495
50084,"Flavium Brigantium",70,-8.397,43.370
50085,"Brigetio",80,18.145,47.737
50086,"Brundisium",80,17.938,40.635
50087,"Bulla Regia",80,8.742,36.564
50088,"Burdigala",90,-0.586,44.856
50089,"Burnum",80,15.996,44.009
50090,"Burrio",80,-2.930,51.741
50091,"Cabilonnum",70,4.839,46.782
50092,"Caeciliana",70,38.121,36.661
50093,"Caesaraugusta",90,-0.872,41.646
50094,"Caesarea Maritima",80,34.898,32.508
50095,"Caesarea (Cappadocia)",90,35.502,38.721
50096,"Caesarodunum",80,0.701,47.383
50097,"Calagurris",80,-1.966,42.303
50098,"Calleva",80,-1.075,51.375
50099,"Cambete",60,7.496,47.666
50100,"Cambodunum",80,10.326,47.726
50101,"Camulodunum",80,0.897,51.891
50102,"Canusium",80,16.065,41.221
50103,"Capsa",80,8.789,34.412
50104,"Capua",90,14.242,41.085
50105,"Carnuntum",80,16.916,48.121
50106,"Carrhae",80,39.023,36.875
50107,"Carthago",100,10.312,36.846
50108,"Carthago Nova",90,-0.992,37.605
50109,"Casinum",90,13.830,41.492
50110,"Castrum Truentinum",80,13.905,42.897
50111,"Castulo",80,-3.625,38.037
50112,"Catabathmus Maior",80,25.159,31.562
50113,"Caudium",80,14.640,41.063
50114,"Celeia",80,15.264,46.234
50115,"Cenabum",80,1.915,47.909
50116,"Cetium",70,15.622,48.204
50117,"Chalcedon",80,29.030,40.993
50118,"Cibalae",80,18.800,45.275
50119,"Circesium",90,40.449,35.172
50120,"Cirta",90,6.593,36.362
50121,"Civitas Namnetum",70,-1.558,47.214
50122,"Clusium",90,11.947,43.016
50123,"Clysma",80,32.568,29.958
50124,"Augusta Treverorum",90,6.681,49.761
50125,"Ulpia Traiana Tricensimae",80,6.445,51.668
50126,"Comana",80,36.330,38.337
50127,"Comum",80,9.085,45.811
50128,"Conimbriga",80,-8.499,40.085
50129,"Constantinopolis",100,28.985,41.018
50130,"Coptos",100,32.805,26.006
50131,"Corduba",100,-4.780,37.884
50132,"Corfinium",80,13.841,42.123
50133,"Coriosopitum",70,-2.003,54.976
50134,"Cosa",80,11.288,42.406
50135,"Cuicul",80,5.727,36.322
50136,"Cumae",80,14.045,40.853
50137,"Curia",70,9.530,46.848
50138,"Cyrene",90,21.867,32.824
50139,"Cyrrhus",80,36.915,36.781
50140,"Damascus",90,36.309,33.511
50141,"Darnis",80,22.641,32.768
50142,"Decetia",70,3.463,46.850
50143,"Delphi",80,22.497,38.481
50144,"Dertona",80,8.864,44.896
50145,"Dertosa",80,0.520,40.810
50146,"Deultum",80,27.306,42.401
50147,"Deva",80,-2.897,53.190
50148,"Diana Veteranorum",80,5.889,35.790
50149,"Dierna",80,22.402,44.708
50150,"Thebai",80,32.652,25.701
50151,"Doclea",80,19.280,42.479
50152,"Domavium",80,19.381,44.141
50153,"Dorylaion",80,30.528,39.814
50154,"Drobeta",80,22.659,44.635
50155,"Dura",80,40.730,34.746
50156,"Durnonovaria",80,-2.435,50.710
50157,"Durocortorum",80,4.031,49.262
50158,"Durostorum",80,27.260,44.116
50159,"Dyrrhachium",90,19.454,41.324
50160,"Eburacum",90,-1.113,53.954
50161,"Edessa",90,38.794,37.159
50162,"Eleusis",80,23.543,38.045
50163,"Emerita Augusta",90,-6.347,38.915
50164,"Emesa",80,36.716,34.734
50165,"Emmaus",80,34.989,31.838
50166,"Emona",80,14.505,46.050
50167,"Emporiae",80,3.100,42.150
50168,"Endidae",60,11.273,46.317
50169,"Ephesus",100,27.348,37.939
50170,"Epiphaneia",80,36.749,35.143
50171,"Fanum Fortunae",80,13.016,43.844
50172,"Faventia",70,11.883,44.285
50173,"Ferentinum",80,13.252,41.692
50174,"Florentia",80,11.256,43.768
50175,"Formiae",80,13.605,41.255
50176,"Forum Iulii",80,6.731,43.441
50177,"Fregellanum",60,13.512,41.545
50178,"Gadara",80,35.733,32.061
50179,"Gades",90,-6.293,36.529
50180,"Galacum",60,-2.592,54.171
50181,"Gaza",90,34.458,31.510
50182,"Genava",70,6.138,46.202
50183,"Genua",70,8.933,44.406
50184,"Germa",90,31.616,39.510
50185,"Gesoriacum",70,1.614,50.724
50186,"Glevum",80,-2.262,51.867
50187,"Hadrianoupolis",60,26.566,41.683
50188,"Hadrumetum",90,10.644,35.837
50189,"Heliopolis",80,31.295,30.124
50190,"Heliopolis (Baalbek)",90,36.203,34.014
50191,"Heraklea",80,21.345,41.025
50192,"Herakleopolis",80,30.941,29.086
50193,"Herdoniae",70,15.619,41.315
50194,"Hermopolis Magna",90,30.804,27.778
50195,"Hibis",80,30.553,25.437
50196,"Hierakonpolis",70,30.477,31.018
50197,"Hierasykaminos",70,32.683,23.068
50198,"Hippo Regius",90,7.754,36.888
50199,"Hispalis",90,-5.997,37.382
50200,"Histria",80,28.768,44.552
50201,"Iader",80,15.228,44.114
50202,"Iconium",80,32.512,37.866
50203,"Ilerda",80,0.625,41.613
50204,"Ilium",80,26.265,39.947
50205,"Interpromium",70,13.933,42.243
50206,"Iol Caesarea",90,2.196,36.606
50207,"Isca",80,-2.966,51.618
50208,"Italica",80,-6.035,37.438
50209,"Iulia Concordia",80,12.843,45.756
50210,"Iuliomagus",80,-0.548,47.458
50211,"Iulium Carnicum",70,13.012,46.452
50212,"Iuvavum",80,13.061,47.804
50213,"Ierusalem",100,35.234,31.776
50214,"Kallipolis",60,26.680,40.414
50215,"Kapitolias",70,35.857,32.610
50216,"Katabolos",70,35.985,36.922
50217,"Kellis",80,29.089,25.518
50218,"Klaudianon",80,33.490,26.807
50219,"Flaviopolis",70,32.197,40.806
50220,"Lacobriga",70,-4.602,42.347
50221,"Lamasba",80,5.909,35.600
50222,"Lambaesis",90,6.262,35.489
50223,"Lampsacus",80,26.694,40.351
50224,"Lancia",80,-5.415,42.533
50225,"Laodicea",80,35.785,35.521
50226,"Larinum",80,14.918,41.806
50227,"Larissa",90,22.416,39.639
50228,"Lauriacum",80,14.465,48.220
50229,"Legio VII",70,-5.571,42.605
50230,"Lepcis Magna",100,14.292,32.637
50231,"Limonum",80,0.354,46.571
50232,"Lindum",80,-0.541,53.237
50233,"Lixus",80,-6.111,35.209
50234,"Loium",60,0.723,49.522
50235,"Londinium",100,-0.083,51.520
50236,"Lousonna",60,6.631,46.518
50237,"Luca",90,10.499,43.846
50238,"Lugdunum Cananefatium",70,4.398,52.198
50239,"Lugdunum Convenarum",80,0.559,43.038
50240,"Luguvalium",80,-2.936,54.894
50241,"Luna",90,10.030,44.065
50242,"Lutetia",70,2.340,48.850
50243,"Lydda",90,34.892,31.965
50244,"Lykopolis",80,31.187,27.183
50245,"Magnesia",80,27.526,37.859
50246,"Mampsoukrenai",60,34.892,37.079
50247,"Marcianopolis",90,27.437,43.315
50248,"Mariana",70,-2.926,38.558
50249,"Mamucio",70,-2.329,53.464
50250,"Massilia",80,5.363,43.305
50251,"Mediolanum",100,9.187,45.463
50252,"Mediolanum (Aquitania)",80,-0.630,45.749
50253,"Melitene",90,38.371,38.430
50254,"Memphis",90,31.276,30.003
50255,"Minturnae",90,13.768,41.241
50256,"Misenum",80,14.084,40.785
50257,"Mogontiacum",90,8.256,50.007
50258,"Mounesis",70,30.606,24.683
50259,"Mursa",80,18.673,45.549
50260,"Musti",80,9.135,36.341
50261,"Mutina",80,10.924,44.646
50262,"Myos Hormos",70,34.244,26.156
50263,"Naissus",90,21.897,43.328
50264,"Narbo",90,3.000,43.197
50265,"Narnia",80,12.515,42.519
50266,"Narona",80,17.632,43.052
50267,"Naucratis",80,30.607,30.854
50268,"Neapolis",90,14.233,40.840
50269,"Nemausus",80,4.357,43.843
50270,"Nemetacum",70,2.763,50.297
50271,"Nicaea",90,29.723,40.436
50272,"Nicomedia",90,29.924,40.770
50273,"Nicopolis",80,20.735,39.007
50274,"Nicopolis (Pontus)",80,38.146,40.151
50275,"Nisibis",80,41.244,37.077
50276,"Novae",80,25.385,43.615
50277,"Noviomagus",70,8.445,49.315
50278,"Nuceria",80,14.673,40.742
50279,"Ocriculum",80,12.466,42.411
50280,"Odessus",80,27.908,43.211
50281,"Oea",90,13.174,32.897
50282,"Oescus",80,24.472,43.707
50283,"Olisipo",80,-9.145,38.726
50284,"Omboi",80,32.950,24.466
50285,"Osca",80,-0.410,42.139
50286,"Ostia/Portus",90,12.287,41.754
50287,"Ovilava",80,14.026,48.163
50288,"Oxyrhynchus",80,30.626,28.672
50289,"Palantia",60,-5.383,42.446
50290,"Palmyra",90,38.285,34.559
50291,"Paraetonium",80,27.225,31.356
50292,"Parma",80,10.332,44.803
50293,"Parthanum",60,11.085,47.491
