"id","title","latitude","longitude","pleiades","author","rank","latlong"
"50001","Abodiacum",47.91,10.91,"187242","Scheidel",6,"47.91:10.91"
"50005","Ad Aras",38.5,-0.5,"265766","Scheidel",6,"38.5:-0.5"
"50002","Ad fl. Tigrim",37.325,42.196,"874296","Scheidel",6,"37.325:42.196"
"50003","Ad Publicanos",45.667,6.387,"167618","Scheidel",6,"45.667:6.387"
"50006","Adramyttium",39.501,26.938,"550403","Scheidel",8,"39.501:26.938"
"50004","Ad Tricesimum",46.158,13.216,"187259","Scheidel",6,"46.158:13.216"
"50007","Aeclanum",41.043,14.994,"442451","Scheidel",8,"41.043:14.994"
"50008","Aelana",29.664,34.974,"746700","Scheidel",8,"29.664:34.974"
"50009","Aequum Tuticum",41.152,15.088,"442452","Scheidel",7,"41.152:15.088"
"50010","Aesernia",41.594,14.231,"432652","Scheidel",8,"41.594:14.231"
"50011","Aesuris",37.218,-7.445,"256008","Scheidel",7,"37.218:-7.445"
"50435","Aginnum",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50013","Aguntum",46.827,12.823,"187265","Scheidel",8,"46.827:12.823"
"50014","Ake-Ptolemais",32.922,35.077,"678010","Scheidel",8,"32.922:35.077"
"50015","Alba Fucens",42.08,13.412,"413005","Scheidel",8,"42.08:13.412"
"50016","Albulae",35.302,-1.145,"285412","Scheidel",7,"35.302:-1.145"
"50017","Alexandria",31.201,29.91,"727070","Scheidel",10,"31.201:29.91"
"50019","Alexandria Troas",39.761,26.153,"550434","Scheidel",8,"39.761:26.153"
"50020","Altinum",45.579,12.373,"393374","Scheidel",8,"45.579:12.373"
"50442","Amaseia",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50446","Amastris",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50021","Ammaedara",35.567,8.467,"no Pleiades ID yet","Scheidel",8,"35.567:8.467"
"50022","Ancona",43.616,13.519,"413014","Scheidel",9,"43.616:13.519"
"50023","Ancyra",39.972,32.801,"619103","Scheidel",9,"39.972:32.801"
"50024","Antiochia",36.202,36.158,"658381","Scheidel",10,"36.202:36.158"
"50026","Apamea",35.557,36.401,"668335","Scheidel",9,"35.557:36.401"
"50027","Apamea (Pisidia)",38.069,30.17,"638751","Scheidel",9,"38.069:30.17"
"50028","Aphroditopolis",29.408,31.252,"736889","Scheidel",8,"29.408:31.252"
"50030","Apulum",46.077,23.58,"206927","Scheidel",9,"46.077:23.58"
"50031","Aquae Sextiae",43.526,5.445,"148053","Scheidel",8,"43.526:5.445"
"50032","Aquae Sulis",51.381,-2.357,"79299/","Scheidel",7,"51.381:-2.357"
"50033","Aquae Terebellicae",43.733,-1.06,"no Pleiades ID yet","Scheidel",7,"43.733:-1.06"
"50034","Aquileia",45.768,13.365,"187290","Scheidel",9,"45.768:13.365"
"50035","Aquincum",47.564,19.05,"197130","Scheidel",9,"47.564:19.05"
"50012","Ara Agrippinensium",50.941,6.96,"108751","Scheidel",9,"50.941:6.96"
"50036","Arae Philaenorum",30.294,18.788,"363924","Scheidel",7,"30.294:18.788"
"50037","Arausio",44.138,4.81,"no Pleiades ID yet","Scheidel",8,"44.138:4.81"
"50039","Archelais",38.402,33.95,"619164","Scheidel",8,"38.402:33.95"
"50040","Arelate",43.677,4.628,"no Pleiades ID yet","Scheidel",9,"43.677:4.628"
"50041","Argentorate",48.583,7.744,"108754","Scheidel",8,"48.583:7.744"
"50042","Ariminum",44.059,12.563,"393379","Scheidel",8,"44.059:12.563"
"50043","Arretium",43.471,11.863,"413032","Scheidel",9,"43.471:11.863"
"50045","Arupium",44.849,15.269,"197143","Scheidel",7,"44.849:15.269"
"50046","Ascalon",31.67,34.546,"687839","Scheidel",9,"31.67:34.546"
"50047","Asculum",42.855,13.575,"413036","Scheidel",9,"42.855:13.575"
"50048","Asturica",42.459,-6.064,"236352","Scheidel",9,"42.459:-6.064"
"50049","Aternum",42.465,14.214,"413039","Scheidel",8,"42.465:14.214"
"50050","Athenae",38.032,23.655,"579885","Scheidel",9,"38.032:23.655"
"50447","Attalea",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50051","Aufidena",41.336,16.194,"442484","Scheidel",6,"41.336:16.194"
"50052","Augusta Praetoria",45.737,7.314,"383579","Scheidel",8,"45.737:7.314"
"50053","Augusta Raurica",47.533,7.722,"177494","Scheidel",8,"47.533:7.722"
"50054","Augusta Suessionum",49.381,3.326,"108772","Scheidel",7,"49.381:3.326"
"50055","Augusta Taurinorum",45.07,7.687,"383580","Scheidel",8,"45.07:7.687"
"50124","Augusta Treverorum",49.754,6.646,"108894","Scheidel",9,"49.754:6.646"
"50056","Augusta Vindelicum",48.365,10.895,"118580","Scheidel",9,"48.365:10.895"
"50057","Augustobona",48.297,4.075,"108775","Scheidel",7,"48.297:4.075"
"50058","Augustobriga",39.807,-5.676,"256001","Scheidel",7,"39.807:-5.676"
"50059","Augustodunum",46.949,4.299,"177460","Scheidel",8,"46.949:4.299"
"50444","Augustonemetum",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50445","Augustoritum",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50060","Auzia",36.143,3.693,"295221","Scheidel",8,"36.143:3.693"
"50061","Avaricum",47.083,2.397,"138207","Scheidel",9,"47.083:2.397"
"50062","Aventicum",46.88,7.041,"177495","Scheidel",8,"46.88:7.041"
